D:\Research\IoT_Mobile_Project\iot_companion_appset\cordova_apps/at.netzooe.sonnenmonitor/html\1analysis.type.selector.html,-,at.netzooe.sonnenmonitor,-,onclick,-,2
D:\Research\IoT_Mobile_Project\iot_companion_appset\cordova_apps/br.com.fulltime.frantruck.mobile/html\cameraModal.html,-,br.com.fulltime.frantruck.mobile,-,onerror,-,1
D:\Research\IoT_Mobile_Project\iot_companion_appset\cordova_apps/br.com.fulltime.frantruck.mobile/html\cameras.html,-,br.com.fulltime.frantruck.mobile,-,onerror,-,2
D:\Research\IoT_Mobile_Project\iot_companion_appset\cordova_apps/br.com.fulltime.frantruck.mobile/html\hls.html,-,br.com.fulltime.frantruck.mobile,-,onerror,-,2
D:\Research\IoT_Mobile_Project\iot_companion_appset\cordova_apps/br.com.fulltime.frantruck.mobile/html\index.html,-,br.com.fulltime.frantruck.mobile,-,onclick,-,32
D:\Research\IoT_Mobile_Project\iot_companion_appset\cordova_apps/br.com.fulltime.frantruck.mobile/html\index.html,-,br.com.fulltime.frantruck.mobile,-,onkeydown,-,3
D:\Research\IoT_Mobile_Project\iot_companion_appset\cordova_apps/br.com.fulltime.frantruck.mobile/html\index.html,-,br.com.fulltime.frantruck.mobile,-,onmousedown,-,1
D:\Research\IoT_Mobile_Project\iot_companion_appset\cordova_apps/br.com.fulltime.frantruck.mobile/html\index.html,-,br.com.fulltime.frantruck.mobile,-,onmousemove,-,2
D:\Research\IoT_Mobile_Project\iot_companion_appset\cordova_apps/br.com.fulltime.frantruck.mobile/html\index.html,-,br.com.fulltime.frantruck.mobile,-,onmouseout,-,1
D:\Research\IoT_Mobile_Project\iot_companion_appset\cordova_apps/br.com.fulltime.frantruck.mobile/html\index.html,-,br.com.fulltime.frantruck.mobile,-,onmouseup,-,1
D:\Research\IoT_Mobile_Project\iot_companion_appset\cordova_apps/br.com.fulltime.frantruck.mobile/html\metrics.html,-,br.com.fulltime.frantruck.mobile,-,onclick,-,14
D:\Research\IoT_Mobile_Project\iot_companion_appset\cordova_apps/br.com.fulltime.frantruck.mobile/html\metrics.html,-,br.com.fulltime.frantruck.mobile,-,onkeydown,-,2
D:\Research\IoT_Mobile_Project\iot_companion_appset\cordova_apps/br.com.fulltime.frantruck.mobile/html\metrics.html,-,br.com.fulltime.frantruck.mobile,-,onmousedown,-,1
D:\Research\IoT_Mobile_Project\iot_companion_appset\cordova_apps/br.com.fulltime.frantruck.mobile/html\metrics.html,-,br.com.fulltime.frantruck.mobile,-,onmousemove,-,2
D:\Research\IoT_Mobile_Project\iot_companion_appset\cordova_apps/br.com.fulltime.frantruck.mobile/html\metrics.html,-,br.com.fulltime.frantruck.mobile,-,onmouseout,-,1
D:\Research\IoT_Mobile_Project\iot_companion_appset\cordova_apps/br.com.fulltime.frantruck.mobile/html\metrics.html,-,br.com.fulltime.frantruck.mobile,-,onmouseup,-,1
D:\Research\IoT_Mobile_Project\iot_companion_appset\cordova_apps/br.com.fulltime.frantruck.mobile/html\preAlarme.html,-,br.com.fulltime.frantruck.mobile,-,onerror,-,2
D:\Research\IoT_Mobile_Project\iot_companion_appset\cordova_apps/com.aeonmatrix.yapp/html\videoFullscreen.html,-,com.aeonmatrix.yapp,-,oncanplay,-,2
D:\Research\IoT_Mobile_Project\iot_companion_appset\cordova_apps/com.app.iotbind/html\about.html,-,com.app.iotbind,-,onclick,-,2
D:\Research\IoT_Mobile_Project\iot_companion_appset\cordova_apps/com.app.iotbind/html\Congratulations.html,-,com.app.iotbind,-,onclick,-,3
D:\Research\IoT_Mobile_Project\iot_companion_appset\cordova_apps/com.app.iotbind/html\dashbord.html,-,com.app.iotbind,-,onclick,-,1
D:\Research\IoT_Mobile_Project\iot_companion_appset\cordova_apps/com.app.iotbind/html\department.html,-,com.app.iotbind,-,onclick,-,1
D:\Research\IoT_Mobile_Project\iot_companion_appset\cordova_apps/com.app.iotbind/html\favorite.html,-,com.app.iotbind,-,onclick,-,1
D:\Research\IoT_Mobile_Project\iot_companion_appset\cordova_apps/com.app.iotbind/html\fav_maneg_deivce.html,-,com.app.iotbind,-,onclick,-,1
D:\Research\IoT_Mobile_Project\iot_companion_appset\cordova_apps/com.app.iotbind/html\location.html,-,com.app.iotbind,-,onclick,-,1
D:\Research\IoT_Mobile_Project\iot_companion_appset\cordova_apps/com.app.iotbind/html\login.html,-,com.app.iotbind,-,onclick,-,2
D:\Research\IoT_Mobile_Project\iot_companion_appset\cordova_apps/com.app.iotbind/html\manege_department.html,-,com.app.iotbind,-,onclick,-,73
D:\Research\IoT_Mobile_Project\iot_companion_appset\cordova_apps/com.app.iotbind/html\maneg_deivce.html,-,com.app.iotbind,-,onclick,-,1
D:\Research\IoT_Mobile_Project\iot_companion_appset\cordova_apps/com.app.iotbind/html\massegs.html,-,com.app.iotbind,-,onclick,-,1
D:\Research\IoT_Mobile_Project\iot_companion_appset\cordova_apps/com.app.iotbind/html\project.html,-,com.app.iotbind,-,onclick,-,1
D:\Research\IoT_Mobile_Project\iot_companion_appset\cordova_apps/com.app.iotbind/html\rgp_sw.html,-,com.app.iotbind,-,onclick,-,9
D:\Research\IoT_Mobile_Project\iot_companion_appset\cordova_apps/com.app.iotbind/html\security.html,-,com.app.iotbind,-,onclick,-,1
D:\Research\IoT_Mobile_Project\iot_companion_appset\cordova_apps/com.app.iotbind/html\sensor.html,-,com.app.iotbind,-,onclick,-,1
D:\Research\IoT_Mobile_Project\iot_companion_appset\cordova_apps/com.app.iotbind/html\setting.html,-,com.app.iotbind,-,onclick,-,2
D:\Research\IoT_Mobile_Project\iot_companion_appset\cordova_apps/com.app.iotbind/html\signup.html,-,com.app.iotbind,-,onclick,-,2
D:\Research\IoT_Mobile_Project\iot_companion_appset\cordova_apps/com.app.iotbind/html\sw.html,-,com.app.iotbind,-,onclick,-,5
D:\Research\IoT_Mobile_Project\iot_companion_appset\cordova_apps/com.app.iotbind/html\water_tank.html,-,com.app.iotbind,-,onclick,-,2
D:\Research\IoT_Mobile_Project\iot_companion_appset\cordova_apps/com.armakom.arnidosmarthome/html\index.html,-,com.armakom.arnidosmarthome,-,onclick,-,1
D:\Research\IoT_Mobile_Project\iot_companion_appset\cordova_apps/com.belkin.wemoandroid/html\HelpWifiSetup.html,-,com.belkin.wemoandroid,-,onclick,-,1
D:\Research\IoT_Mobile_Project\iot_companion_appset\cordova_apps/com.belkin.wemoandroid/html\HelpWifiSetup.html,-,com.belkin.wemoandroid,-,onsubmit,-,1
D:\Research\IoT_Mobile_Project\iot_companion_appset\cordova_apps/com.belkin.wemoandroid/html\HelpWifiSetup_de.html,-,com.belkin.wemoandroid,-,onclick,-,1
D:\Research\IoT_Mobile_Project\iot_companion_appset\cordova_apps/com.belkin.wemoandroid/html\HelpWifiSetup_de.html,-,com.belkin.wemoandroid,-,onsubmit,-,1
D:\Research\IoT_Mobile_Project\iot_companion_appset\cordova_apps/com.belkin.wemoandroid/html\HelpWifiSetup_es.html,-,com.belkin.wemoandroid,-,onclick,-,1
D:\Research\IoT_Mobile_Project\iot_companion_appset\cordova_apps/com.belkin.wemoandroid/html\HelpWifiSetup_es.html,-,com.belkin.wemoandroid,-,onsubmit,-,1
D:\Research\IoT_Mobile_Project\iot_companion_appset\cordova_apps/com.belkin.wemoandroid/html\HelpWifiSetup_fr.html,-,com.belkin.wemoandroid,-,onclick,-,1
D:\Research\IoT_Mobile_Project\iot_companion_appset\cordova_apps/com.belkin.wemoandroid/html\HelpWifiSetup_fr.html,-,com.belkin.wemoandroid,-,onsubmit,-,1
D:\Research\IoT_Mobile_Project\iot_companion_appset\cordova_apps/com.belkin.wemoandroid/html\HelpWifiSetup_zh.html,-,com.belkin.wemoandroid,-,onclick,-,1
D:\Research\IoT_Mobile_Project\iot_companion_appset\cordova_apps/com.belkin.wemoandroid/html\HelpWifiSetup_zh.html,-,com.belkin.wemoandroid,-,onsubmit,-,1
D:\Research\IoT_Mobile_Project\iot_companion_appset\cordova_apps/com.belkin.wemoandroid/html\local.html,-,com.belkin.wemoandroid,-,onclick,-,1
D:\Research\IoT_Mobile_Project\iot_companion_appset\cordova_apps/com.belkin.wemoandroid/html\README.html,-,com.belkin.wemoandroid,-,onload,-,1
D:\Research\IoT_Mobile_Project\iot_companion_appset\cordova_apps/com.belkin.wemoandroid/html\video.html,-,com.belkin.wemoandroid,-,onclick,-,2
D:\Research\IoT_Mobile_Project\iot_companion_appset\cordova_apps/com.captech.home/html\edit-model.html,-,com.captech.home,-,onclick,-,1
D:\Research\IoT_Mobile_Project\iot_companion_appset\cordova_apps/com.captech.home/html\entertainment.html,-,com.captech.home,-,onclick,-,1
D:\Research\IoT_Mobile_Project\iot_companion_appset\cordova_apps/com.captech.home/html\environment.html,-,com.captech.home,-,onclick,-,1
D:\Research\IoT_Mobile_Project\iot_companion_appset\cordova_apps/com.captech.home/html\home.html,-,com.captech.home,-,onclick,-,1
D:\Research\IoT_Mobile_Project\iot_companion_appset\cordova_apps/com.captech.home/html\jiadian.html,-,com.captech.home,-,onclick,-,1
D:\Research\IoT_Mobile_Project\iot_companion_appset\cordova_apps/com.captech.home/html\lighting.html,-,com.captech.home,-,onclick,-,1
D:\Research\IoT_Mobile_Project\iot_companion_appset\cordova_apps/com.captech.home/html\main.html,-,com.captech.home,-,onclick,-,1
D:\Research\IoT_Mobile_Project\iot_companion_appset\cordova_apps/com.captech.home/html\nodes.html,-,com.captech.home,-,onclick,-,1
D:\Research\IoT_Mobile_Project\iot_companion_appset\cordova_apps/com.captech.home/html\out.html,-,com.captech.home,-,onclick,-,1
D:\Research\IoT_Mobile_Project\iot_companion_appset\cordova_apps/com.captech.home/html\report.html,-,com.captech.home,-,onclick,-,1
D:\Research\IoT_Mobile_Project\iot_companion_appset\cordova_apps/com.captech.home/html\rooms.html,-,com.captech.home,-,onclick,-,1
D:\Research\IoT_Mobile_Project\iot_companion_appset\cordova_apps/com.captech.home/html\security.html,-,com.captech.home,-,onclick,-,1
D:\Research\IoT_Mobile_Project\iot_companion_appset\cordova_apps/com.connectedtechnologies.connect_one/html\scanpass.html,-,com.connectedtechnologies.connect_one,-,onclick,-,3
D:\Research\IoT_Mobile_Project\iot_companion_appset\cordova_apps/com.coronado.wifithermostat/html\main.html,-,com.coronado.wifithermostat,-,onload,-,1
D:\Research\IoT_Mobile_Project\iot_companion_appset\cordova_apps/com.geappliances.brillion.wifi/html\index.html,-,com.geappliances.brillion.wifi,-,onclick,-,175
D:\Research\IoT_Mobile_Project\iot_companion_appset\cordova_apps/com.geappliances.brillion.wifi/html\index.html,-,com.geappliances.brillion.wifi,-,onload,-,1
D:\Research\IoT_Mobile_Project\iot_companion_appset\cordova_apps/com.geappliances.brillion.wifi.waterheater/html\index.html,-,com.geappliances.brillion.wifi.waterheater,-,onclick,-,114
D:\Research\IoT_Mobile_Project\iot_companion_appset\cordova_apps/com.geappliances.brillion.wifi.waterheater/html\index.html,-,com.geappliances.brillion.wifi.waterheater,-,onload,-,2
D:\Research\IoT_Mobile_Project\iot_companion_appset\cordova_apps/com.getsafe.homesecurity/html\offline.html,-,com.getsafe.homesecurity,-,onclick,-,1
D:\Research\IoT_Mobile_Project\iot_companion_appset\cordova_apps/com.gooclient.cloudlens/html\index.html,-,com.gooclient.cloudlens,-,onload,-,1
D:\Research\IoT_Mobile_Project\iot_companion_appset\cordova_apps/com.greenmomit.momitst/html\About.html,-,com.greenmomit.momitst,-,onclick,-,1
D:\Research\IoT_Mobile_Project\iot_companion_appset\cordova_apps/com.greenmomit.momitst/html\AjustesDev.html,-,com.greenmomit.momitst,-,onclick,-,31
D:\Research\IoT_Mobile_Project\iot_companion_appset\cordova_apps/com.greenmomit.momitst/html\AjustesPantalla.html,-,com.greenmomit.momitst,-,onclick,-,5
D:\Research\IoT_Mobile_Project\iot_companion_appset\cordova_apps/com.greenmomit.momitst/html\Asistente2.html,-,com.greenmomit.momitst,-,onclick,-,4
D:\Research\IoT_Mobile_Project\iot_companion_appset\cordova_apps/com.greenmomit.momitst/html\Asistente4.html,-,com.greenmomit.momitst,-,onclick,-,7
D:\Research\IoT_Mobile_Project\iot_companion_appset\cordova_apps/com.greenmomit.momitst/html\Calendario-vacaciones.html,-,com.greenmomit.momitst,-,onclick,-,5
D:\Research\IoT_Mobile_Project\iot_companion_appset\cordova_apps/com.greenmomit.momitst/html\Calendario1.html,-,com.greenmomit.momitst,-,onclick,-,4
D:\Research\IoT_Mobile_Project\iot_companion_appset\cordova_apps/com.greenmomit.momitst/html\CalendarioFicha.html,-,com.greenmomit.momitst,-,onclick,-,4
D:\Research\IoT_Mobile_Project\iot_companion_appset\cordova_apps/com.greenmomit.momitst/html\CalendarioNew.html,-,com.greenmomit.momitst,-,onclick,-,5
D:\Research\IoT_Mobile_Project\iot_companion_appset\cordova_apps/com.greenmomit.momitst/html\CalendarioTramo.html,-,com.greenmomit.momitst,-,onclick,-,7
D:\Research\IoT_Mobile_Project\iot_companion_appset\cordova_apps/com.greenmomit.momitst/html\changePassword.html,-,com.greenmomit.momitst,-,onclick,-,1
D:\Research\IoT_Mobile_Project\iot_companion_appset\cordova_apps/com.greenmomit.momitst/html\ConsumptionStat.html,-,com.greenmomit.momitst,-,onclick,-,5
D:\Research\IoT_Mobile_Project\iot_companion_appset\cordova_apps/com.greenmomit.momitst/html\Dashboard.html,-,com.greenmomit.momitst,-,onclick,-,1
D:\Research\IoT_Mobile_Project\iot_companion_appset\cordova_apps/com.greenmomit.momitst/html\device.html,-,com.greenmomit.momitst,-,onclick,-,7
D:\Research\IoT_Mobile_Project\iot_companion_appset\cordova_apps/com.greenmomit.momitst/html\DeviceStats.html,-,com.greenmomit.momitst,-,onclick,-,3
D:\Research\IoT_Mobile_Project\iot_companion_appset\cordova_apps/com.greenmomit.momitst/html\HomeManagement4.html,-,com.greenmomit.momitst,-,onclick,-,5
D:\Research\IoT_Mobile_Project\iot_companion_appset\cordova_apps/com.greenmomit.momitst/html\HumidityStat.html,-,com.greenmomit.momitst,-,onclick,-,5
D:\Research\IoT_Mobile_Project\iot_companion_appset\cordova_apps/com.greenmomit.momitst/html\invitation.html,-,com.greenmomit.momitst,-,onclick,-,1
D:\Research\IoT_Mobile_Project\iot_companion_appset\cordova_apps/com.greenmomit.momitst/html\InviteHome.html,-,com.greenmomit.momitst,-,onclick,-,5
D:\Research\IoT_Mobile_Project\iot_companion_appset\cordova_apps/com.greenmomit.momitst/html\InviteList.html,-,com.greenmomit.momitst,-,onclick,-,1
D:\Research\IoT_Mobile_Project\iot_companion_appset\cordova_apps/com.greenmomit.momitst/html\InviteNew.html,-,com.greenmomit.momitst,-,onclick,-,3
D:\Research\IoT_Mobile_Project\iot_companion_appset\cordova_apps/com.greenmomit.momitst/html\log.html,-,com.greenmomit.momitst,-,onclick,-,6
D:\Research\IoT_Mobile_Project\iot_companion_appset\cordova_apps/com.greenmomit.momitst/html\login.html,-,com.greenmomit.momitst,-,onclick,-,1
D:\Research\IoT_Mobile_Project\iot_companion_appset\cordova_apps/com.greenmomit.momitst/html\Micuenta.html,-,com.greenmomit.momitst,-,onclick,-,1
D:\Research\IoT_Mobile_Project\iot_companion_appset\cordova_apps/com.greenmomit.momitst/html\myAccount.html,-,com.greenmomit.momitst,-,onclick,-,1
D:\Research\IoT_Mobile_Project\iot_companion_appset\cordova_apps/com.greenmomit.momitst/html\register.html,-,com.greenmomit.momitst,-,onclick,-,3
D:\Research\IoT_Mobile_Project\iot_companion_appset\cordova_apps/com.greenmomit.momitst/html\RememberPassword.html,-,com.greenmomit.momitst,-,onclick,-,2
D:\Research\IoT_Mobile_Project\iot_companion_appset\cordova_apps/com.greenmomit.momitst/html\reset-password.html,-,com.greenmomit.momitst,-,onclick,-,3
D:\Research\IoT_Mobile_Project\iot_companion_appset\cordova_apps/com.greenmomit.momitst/html\TempStat.html,-,com.greenmomit.momitst,-,onclick,-,5
D:\Research\IoT_Mobile_Project\iot_companion_appset\cordova_apps/com.greenmomit.momitst/html\UsesStat.html,-,com.greenmomit.momitst,-,onclick,-,5
D:\Research\IoT_Mobile_Project\iot_companion_appset\cordova_apps/com.greenmomit.momitst/html\weather.html,-,com.greenmomit.momitst,-,onclick,-,3
D:\Research\IoT_Mobile_Project\iot_companion_appset\cordova_apps/com.homealertsapp.nest/html\index.html,-,com.homealertsapp.nest,-,onload,-,1
D:\Research\IoT_Mobile_Project\iot_companion_appset\cordova_apps/com.honeywell.aero.pilotgateway/html\register.html,-,com.honeywell.aero.pilotgateway,-,onblur,-,2
D:\Research\IoT_Mobile_Project\iot_companion_appset\cordova_apps/com.hydrawise.android2_2/html\buyonline.html,-,com.hydrawise.android2_2,-,onclick,-,2
D:\Research\IoT_Mobile_Project\iot_companion_appset\cordova_apps/com.hydrawise.android2_2/html\config_header.html,-,com.hydrawise.android2_2,-,onclick,-,2
D:\Research\IoT_Mobile_Project\iot_companion_appset\cordova_apps/com.hydrawise.android2_2/html\config_header_bs3.html,-,com.hydrawise.android2_2,-,onclick,-,1
D:\Research\IoT_Mobile_Project\iot_companion_appset\cordova_apps/com.hydrawise.android2_2/html\contractor1.html,-,com.hydrawise.android2_2,-,onclick,-,2
